DATE,AFRICA_SOVEREIGN_BOND,CHINA_GOV_BOND,EURO_SOVEREIGN_BOND,USA_GOV_BOND,ASIA_PACIFIC_LARGE_MID_CAP,EMERGING_MARKETS_LARGE_MID_CAP,EUROPE_LARGE_CAP,HONG_KONG_LARGE_CAP,USA_LARGE_CAP,USA_SMALL_CAP
2007-01-02,,,,,,,974.369995117187,20310.1796875,,
2007-01-03,,,,,,,973.039978027344,20413.390625,1416.59997558594,787.419982910156
2007-01-04,,,,,,,967.419982910156,20025.580078125,1418.33996582031,789.950012207031
2007-01-05,,,,,,,957.669982910156,20211.279296875,1409.7099609375,775.869995117188
2007-01-08,,,,,,,958.690002441406,20029.66015625,1412.83996582031,776.989990234375
2007-01-09,,,,,,,962.5,19898.080078125,1412.10998535156,778.330017089844
2007-01-10,,,,,,,957.919982910156,19568.33984375,1414.84997558594,778.869995117188
2007-01-11,,,,,,,973.969970703125,19385.369140625,1423.81994628906,788.450012207031
2007-01-12,,,,,,,975.900024414062,19613.41015625,1430.72998046875,794.260009765625
2007-01-15,,,,,,,979.260009765625,20068.560546875,,
2007-01-16,,,,,,,974.590026855469,20027.94921875,1431.90002441406,791.47998046875
2007-01-17,,,,,,,971.609985351563,20064.5703125,1430.61999511719,788.77001953125
2007-01-18,,,,,,,970.039978027344,20277.509765625,1426.36999511719,778.210021972656
2007-01-19,,,,,,,976.200012207031,20327.720703125,1430.5,785.159973144531
2007-01-22,,,,,,,971.630004882813,20772.220703125,1422.94995117188,777.960021972656
2007-01-23,,,,,,,970.559997558594,20769.69921875,1427.98999023438,785.380004882813
2007-01-24,,,,,,,979.469970703125,20821.05078125,1440.13000488281,794.030029296875
2007-01-25,,,,,,,974.700012207031,20669.830078125,1423.90002441406,784.190002441406
2007-01-26,,,,,,,969.919982910156,20281.130859375,1422.18005371094,788.140014648438
2007-01-29,,,,,,,974.609985351563,20236.6796875,1420.61999511719,793.099975585938
2007-01-30,,,,,,,979.369995117188,20460.4609375,1428.81994628906,797.969970703125
2007-01-31,,,,,,,974.309997558594,20106.419921875,1438.23999023438,800.340026855469
2007-02-01,,,,,,,983.880004882812,20430.16015625,1445.93994140625,807.77001953125
2007-02-02,,,,,,,986.090026855469,20563.6796875,1448.39001464844,809.419982910156
2007-02-05,,,,,,,986.799987792969,20455.619140625,1446.98999023438,806.690002441406
2007-02-06,,,,,,,988.119995117188,20655.19921875,1448,810.409973144531
2007-02-07,,,,,,,993.210021972656,20679.689453125,1450.02001953125,816.200012207031
2007-02-08,,,,,,,985.619995117188,20735.05078125,1448.31005859375,816.390014648438
2007-02-09,,,,,,,990.25,20677.66015625,1438.06005859375,807.109985351563
2007-02-12,,,,,,,983.140014648438,20593.41015625,1433.36999511719,805.789978027344
2007-02-13,,,,,,,989.140014648438,20132.25,1444.26000976563,812.530029296875
2007-02-14,,,,,,,994.890014648437,20209.91015625,1455.30004882813,813.989990234375
2007-02-15,,,,,,,995.690002441406,20538.419921875,1456.81005859375,815.429992675781
2007-02-16,,,,,,,994.260009765625,20567.91015625,1455.5400390625,818.150024414063
2007-02-19,,,,,,,999.580017089844,,,
2007-02-20,,,,,,,995.27001953125,,1459.68005371094,826.109985351563
2007-02-21,,,,,,,993.390014648437,20651.419921875,1457.63000488281,827.330017089844
2007-02-22,,,,,,,995.669982910156,20809.23046875,1456.38000488281,829.440002441406
2007-02-23,,,,,,,996.289978027344,20711.650390625,1451.18994140625,826.640014648438
2007-02-26,,,,,,,1001.21002197266,20507.94921875,1449.36999511719,823.690002441406
2007-02-27,,,,,,,973.409973144531,20147.869140625,1399.0400390625,792.659973144531
2007-02-28,,,,,,,960.25,19651.509765625,1406.81994628906,793.299987792969
2007-03-01,,,,,,,950.130004882813,19346.599609375,1403.17004394531,791.030029296875
2007-03-02,,,,,,,946.929992675781,19442.009765625,1387.17004394531,775.440002441406
2007-03-05,,,,,,,938.549987792969,18664.880859375,1374.11999511719,760.059997558594
2007-03-06,,,,,,,945.669982910156,19058.560546875,1395.41003417969,778.880004882813
2007-03-07,,,,,,,951.590026855469,18918.640625,1391.96997070313,775.900024414063
2007-03-08,,,,,,,963.369995117188,19175.169921875,1401.89001464844,781.140014648438
2007-03-09,,,,,,,966.200012207031,19134.880859375,1402.83996582031,785.119995117188
2007-03-12,,,,,,,961.179992675781,19442.419921875,1406.59997558594,789
2007-03-13,,,,,,,951.390014648437,19333.140625,1377.94995117188,769.119995117188
2007-03-14,,,,,,,928.340026855469,18836.9296875,1387.17004394531,775.679992675781
2007-03-15,,,,,,,945.419982910156,18969.439453125,1392.28002929688,783.609985351563
2007-03-16,,,,,,,944.890014648437,18953.5,1386.94995117188,778.77001953125
2007-03-19,,,,,,,960.489990234375,19266.740234375,1402.06005859375,787.049987792969
2007-03-20,,,,,,,968.690002441406,19356.900390625,1410.93994140625,793.599975585938
2007-03-21,,,,,,,970.380004882812,19516.41015625,1435.0400390625,807.469970703125
2007-03-22,,,,,,,986.599975585938,19690.25,1434.5400390625,808.049987792969
2007-03-23,,,,,,,993.97998046875,19692.640625,1436.10998535156,809.510009765625
2007-03-26,,,,,,,984.75,19765.849609375,1437.5,808.940002441406
2007-03-27,,,,,,,985.27001953125,19706.7890625,1428.60998535156,802.359985351563
2007-03-28,,,,,,,979.440002441406,19553.869140625,1417.22998046875,797.400024414063
2007-03-29,,,,,,,992.640014648438,19821.779296875,1422.53002929688,798.940002441406
2007-03-30,,,,,,,992.320007324219,19800.9296875,1420.85998535156,800.710021972656
2007-04-02,,,,,,,995.330017089844,19809.69921875,1424.55004882813,803.219970703125
2007-04-03,,,,,,,1005.73999023438,20002.69921875,1437.77001953125,811.77001953125
2007-04-04,,,,,,,1010.38000488281,20209.7109375,1439.36999511719,810.789978027344
2007-04-05,,,,,,,1011.05999755859,,1443.76000976563,813.349975585938
2007-04-09,,,,,,,,,1444.60998535156,811.640014648438
2007-04-10,,,,,,,1015.90002441406,20347.869140625,1448.39001464844,814.510009765625
2007-04-11,,,,,,,1013.64001464844,20449.4296875,1438.86999511719,808.239990234375
2007-04-12,,,,,,,1010.59997558594,20380.2109375,1447.80004882813,815.049987792969
2007-04-13,,,,,,,1017.30999755859,20340.970703125,1452.84997558594,819.380004882813
2007-04-16,,,,,,,1029.77001953125,20757.529296875,1468.32995605469,831.440002441406
2007-04-17,,,,,,,1028.41003417969,20788.609375,1471.47998046875,828.960021972656
2007-04-18,,,,,,,1024.91003417969,20777.08984375,1472.5,824.380004882813
2007-04-19,,,,,,,1022.25,20299.7109375,1470.72998046875,819.320007324219
2007-04-20,,,,,,,1037.31994628906,20566.58984375,1484.34997558594,828.859985351563
